image_idx,variance,brisque_score
41,0.0,38.71795654296875
41,0.01,70.43634033203125
41,0.05,60.57958984375
41,0.1,54.6195068359375
41,0.2,47.9071044921875
42,0.0,52.98974609375
42,0.01,53.03814697265625
42,0.05,71.58380126953125
42,0.1,53.179229736328125
42,0.2,86.48199462890625
43,0.0,37.7657470703125
43,0.01,77.45294189453125
43,0.05,60.2581787109375
43,0.1,99.9505615234375
43,0.2,96.62905883789062
44,0.0,7.51953125
44,0.01,37.84002685546875
44,0.05,57.82318115234375
44,0.1,47.91571044921875
44,0.2,73.95379638671875
45,0.0,106.33514404296875
45,0.01,130.45777893066406
45,0.05,85.34271240234375
45,0.1,69.25067138671875
45,0.2,117.73045349121094
46,0.0,103.61732482910156
46,0.01,114.64701843261719
46,0.05,65.96209716796875
46,0.1,116.56112670898438
46,0.2,57.93023681640625
47,0.0,26.84417724609375
47,0.01,43.49005126953125
47,0.05,57.11077880859375
47,0.1,53.1123046875
47,0.2,65.86471557617188
48,0.0,34.401611328125
48,0.01,46.529541015625
48,0.05,59.54193115234375
48,0.1,62.141845703125
48,0.2,75.18734741210938
49,0.0,52.561767578125
49,0.01,58.878662109375
49,0.05,60.87481689453125
49,0.1,80.52969360351562
49,0.2,74.4052734375
50,0.0,20.29571533203125
50,0.01,59.05633544921875
50,0.05,65.123779296875
50,0.1,72.090576171875
50,0.2,114.27386474609375
51,0.0,51.449951171875
51,0.01,81.00872802734375
51,0.05,72.75177001953125
51,0.1,53.2459716796875
51,0.2,59.155303955078125
52,0.0,64.26043701171875
52,0.01,83.82171630859375
52,0.05,69.3436279296875
52,0.1,69.30572509765625
52,0.2,77.17144775390625
53,0.0,78.10379028320312
53,0.01,74.83721923828125
53,0.05,103.44500732421875
53,0.1,74.73617553710938
53,0.2,80.267333984375
54,0.0,52.39105224609375
54,0.01,68.70919799804688
54,0.05,82.398681640625
54,0.1,62.30078125
54,0.2,64.8712158203125
55,0.0,30.28900146484375
55,0.01,45.81103515625
55,0.05,56.8609619140625
55,0.1,70.9862060546875
55,0.2,77.83157348632812
56,0.0,68.72552490234375
56,0.01,46.96929931640625
56,0.05,49.8428955078125
56,0.1,61.73248291015625
56,0.2,74.37625122070312
57,0.0,44.026123046875
57,0.01,50.58563232421875
